nivel_geo,abrangencia,cod_ibge_7_pop,cod_mun_pop,municipio_sinesp,nome_municipio_pop,ano,ano_mes,formulario_clean,evento_clean,arma,num_total,num_fem,num_masc,pop_total,pop_fem,pop_masc
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-01,Formulário 6,Arma de Fogo Apreendida,Submetralhadora,1,,,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-02,Formulário 6,Arma de Fogo Apreendida,Carabina,20,,,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-02,Formulário 6,Arma de Fogo Apreendida,Espingarda,202,,,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-02,Formulário 6,Arma de Fogo Apreendida,Fuzil,9,,,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-02,Formulário 6,Arma de Fogo Apreendida,Metralhadora,0,,,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-02,Formulário 6,Arma de Fogo Apreendida,Outra,65,,,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-02,Formulário 6,Arma de Fogo Apreendida,Pistola,164,,,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-02,Formulário 6,Arma de Fogo Apreendida,Revolver,635,,,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-02,Formulário 6,Arma de Fogo Apreendida,Rifle,6,,,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-02,Formulário 6,Arma de Fogo Apreendida,Submetralhadora,4,,,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-03,Formulário 6,Arma de Fogo Apreendida,Carabina,19,,,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-03,Formulário 6,Arma de Fogo Apreendida,Espingarda,219,,,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-03,Formulário 6,Arma de Fogo Apreendida,Fuzil,9,,,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-03,Formulário 6,Arma de Fogo Apreendida,Metralhadora,1,,,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-03,Formulário 6,Arma de Fogo Apreendida,Outra,59,,,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-03,Formulário 6,Arma de Fogo Apreendida,Pistola,224,,,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-03,Formulário 6,Arma de Fogo Apreendida,Revolver,791,,,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-03,Formulário 6,Arma de Fogo Apreendida,Rifle,4,,,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-03,Formulário 6,Arma de Fogo Apreendida,Submetralhadora,0,,,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-04,Formulário 6,Arma de Fogo Apreendida,Carabina,20,,,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-04,Formulário 6,Arma de Fogo Apreendida,Espingarda,223,,,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-04,Formulário 6,Arma de Fogo Apreendida,Fuzil,8,,,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-04,Formulário 6,Arma de Fogo Apreendida,Metralhadora,0,,,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-04,Formulário 6,Arma de Fogo Apreendida,Outra,76,,,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-04,Formulário 6,Arma de Fogo Apreendida,Pistola,207,,,11109776,5709062,5400714
Estado,Estadual,43,43,NÃO INFORMADO,RIO GRANDE DO SUL (TOTAL),2016,2016-04,Formulário 6,Arma de Fogo Apreendida,Revolver,750,,,11109776,5709062,5400714
